code,affinity,Kd/Ki,afftype
4rsk,4.32,Kd=47.4uM,Kd
4u43,4.32,Kd=48uM,Kd
4ucc,4.32,Kd=48uM,Kd
1olx,4.33,Kd=47.1uM,Kd
3l7a,4.33,Ki=46.42uM,Ki
4ibj,4.33,Kd=47.0uM,Kd
4ijh,4.33,Kd=47uM,Kd
1e3v,4.34,Kd=45.74uM,Kd
1z6s,4.34,Ki=46uM,Ki
2ha5,4.34,Kd=46uM,Kd
1ghv,4.35,Ki=45uM,Ki
1sv3,4.35,Kd=45uM,Kd
1yfz,4.35,Ki=45uM,Ki
4owv,4.35,Ki=45uM,Ki
1dy4,4.36,Ki=44uM,Ki
2ez7,4.36,Kd=43.5uM,Kd
3rsr,4.36,Kd=44uM,Kd
4nbn,4.36,Kd=44uM,Kd
1td7,4.37,Kd=43uM,Kd
4gu9,4.37,Kd=43uM,Kd
1bhf,4.38,Kd=42uM,Kd
3b24,4.38,Kd=0.042mM,Kd
3guz,4.38,Kd=42uM,Kd
2avq,4.39,Ki=41uM,Ki
2hjb,4.39,Kd=40.3uM,Kd
3djo,4.39,Ki=40.8uM,Ki
1p57,4.4,Ki=40uM,Ki
2pwd,4.4,Ki=40uM,Ki
3jzg,4.4,Kd=40uM,Kd
3wgg,4.4,Kd=39.9uM,Kd
4abd,4.4,Kd=40uM,Kd
4dy6,4.4,Kd=0.04mM,Kd
4omk,4.4,Kd=40.10uM,Kd
4pp0,4.4,Kd=39.9uM,Kd
1no6,4.41,Ki=39uM,Ki
1olu,4.41,Kd=39.3uM,Kd
2csn,4.41,Ki=39uM,Ki
2ypp,4.41,Kd=39uM,Kd
3uxd,4.41,Ki=39.3uM,Ki
4exs,4.41,Ki=39.0uM,Ki
4ou3,4.41,Ki=38.7uM,Ki
1tjp,4.42,Kd=38uM,Kd
3dri,4.42,Kd=37.7uM,Kd
4cc5,4.42,Kd=38uM,Kd
4ek9,4.42,Ki=38000nM,Ki
4q7s,4.42,Ki=38uM,Ki
2pu2,4.43,Ki=37uM,Ki
2we3,4.43,Kd=37uM,Kd
2wyf,4.43,Kd=37uM,Kd
3kqr,4.43,Kd=36.8uM,Kd
3m3e,4.43,Kd=37.45uM,Kd
4axd,4.43,Kd=37uM,Kd
4dsy,4.43,Ki=37uM,Ki
4ibf,4.43,Kd=36.8uM,Kd
4jpy,4.43,Kd=37uM,Kd
4kcx,4.43,Kd=37uM,Kd
4qf9,4.43,Ki=37.1uM,Ki
4ykj,4.43,Ki=37uM,Ki
2amt,4.44,Kd=36uM,Kd
3u81,4.44,Ki=36uM,Ki
5azf,4.44,Kd=36.1uM,Kd
4gki,4.46,Ki=34.4uM,Ki
4i8n,4.46,Ki=35uM,Ki
5c3p,4.46,Kd=34.4uM,Kd
2r2w,4.47,Ki=34uM,Ki
3hl5,4.47,Ki=34uM,Ki
4cu8,4.47,Ki=33.9uM,Ki
1jaq,4.48,Ki=33uM,Ki
1qan,4.48,Ki=33uM,Ki
2ogy,4.48,Kd=33.2uM,Kd
3p17,4.48,Ki=33.4uM,Ki
3t01,4.48,Ki=33uM,Ki
4dhl,4.48,Ki=33uM,Ki
4oks,4.48,Kd=33uM,Kd
1hi4,4.49,Ki=32uM,Ki
1j14,4.49,Ki=32.2uM,Ki
1o7o,4.49,Kd=0.032mM,Kd
3hl8,4.49,Ki=32uM,Ki
3kmy,4.49,Kd=32uM,Kd
4cwf,4.49,Ki=32.4uM,Ki
4el0,4.49,Ki=32.4uM,Ki
2eg8,4.5,Ki=31.8uM,Ki
3n7h,4.5,Kd=31.3uM,Kd
3sw8,4.5,Ki=31.72uM,Ki
1gi7,4.51,Ki=31uM,Ki
2r1y,4.51,Kd=31uM,Kd
3aas,4.51,Ki=31uM,Ki
3uug,4.51,Kd=0.031mM,Kd
4abb,4.51,Kd=31uM,Kd
4g90,4.51,Ki=30.8uM,Ki
1ctt,4.52,Ki=30uM,Ki
1gu1,4.52,Ki=30uM,Ki
1mrn,4.52,Ki=30uM,Ki
1z4o,4.52,Ki=30uM,Ki
2a4m,4.52,Kd=30uM,Kd
2ra6,4.52,Kd=30uM,Kd
2wm0,4.52,Ki=30uM,Ki
3bzf,4.52,Kd=30uM,Kd
3gy7,4.52,Kd=30uM,Kd
3r6u,4.52,Kd=30.5uM,Kd
4gzw,4.52,Kd=30.0uM,Kd
4trc,4.52,Kd=30uM,Kd
3h30,4.53,Ki=29.2uM,Ki
1amw,4.54,Kd=29uM,Kd
1b2h,4.54,Kd=29uM,Kd
1lyx,4.54,Ki=0.029mM,Ki
1szd,4.54,Kd=29.16uM,Kd
2zz1,4.54,Ki=29uM,Ki
2zz2,4.54,Ki=29uM,Ki
3iub,4.54,Kd=29uM,Kd
4b76,4.54,Kd=29uM,Kd
3b2q,4.55,Kd=28uM,Kd
3djv,4.55,Ki=27.9uM,Ki
3p8p,4.55,Kd=28uM,Kd
3ppq,4.55,Kd=28uM,Kd
3suv,4.55,Ki=28uM,Ki
4myd,4.55,Kd=28uM,Kd
4x3k,4.56,Kd=27.7uM,Kd
3sym,4.57,Ki=27.1uM,Ki
4fp1,4.57,Ki=0.027mM,Ki
4or4,4.57,Kd=26.8uM,Kd
4yrd,4.57,Kd=27uM,Kd
4bi7,4.58,Kd=26.4uM,Kd
1bma,4.59,Ki=26uM,Ki
2ihj,4.59,Ki=25.7uM,Ki
2jiw,4.59,Ki=26uM,Ki
3f3t,4.59,Kd=26uM,Kd
3hp9,4.59,Ki=26uM,Ki
3ujc,4.59,Kd=26uM,Kd
3wq6,4.59,Ki=26uM,Ki
4c6u,4.59,Kd=25.6uM,Kd
4g8y,4.59,Ki=25.8uM,Ki
4j74,4.59,Kd=26uM,Kd
1pa9,4.6,Ki=25uM,Ki
1tx7,4.6,Ki=25uM,Ki
1u33,4.6,Ki=25uM,Ki
1upf,4.6,Ki=25uM,Ki
2pyy,4.6,Kd=25uM,Kd
2v54,4.6,Ki=25uM,Ki
2vb8,4.6,Kd=25uM,Kd
2vba,4.6,Kd=25uM,Kd
2wlz,4.6,Ki=25uM,Ki
2x0y,4.6,Ki=25uM,Ki
3d7k,4.6,Kd=25uM,Kd
3vhk,4.6,Ki=25uM,Ki
4bc5,4.6,Ki=25uM,Ki
4jal,4.6,Kd=25uM,Kd
4p58,4.6,Ki=25uM,Ki
2bo4,4.61,Ki=24.6uM,Ki
3lgs,4.61,Kd=24.8uM,Kd
4io4,4.61,Kd=24.5uM,Kd
4ocq,4.61,Kd=24.7uM,Kd
1f4f,4.62,Ki=24uM,Ki
2a5c,4.62,Kd=24uM,Kd
2f6t,4.62,Ki=24uM,Ki
2xm2,4.62,Ki=24uM,Ki
3f5k,4.62,Ki=0.024mM,Ki
3tk2,4.62,Kd=24uM,Kd
3u90,4.62,Kd=24uM,Kd
3umq,4.62,Kd=24.1uM,Kd
4abf,4.62,Kd=24uM,Kd
4ad3,4.62,Kd=24uM,Kd
4ynl,4.62,Kd=24uM,Kd
3uj9,4.63,Kd=23.4uM,Kd
4hzm,4.63,Ki=23.2uM,Ki
4psb,4.64,Kd=23uM,Kd
3qtv,4.65,Ki=22.5uM,Ki
4q93,4.65,Ki=22.3uM,Ki
1bzj,4.66,Ki=22uM,Ki
1h4w,4.66,Ki=22uM,Ki
1m1b,4.66,Ki=22uM,Ki
2ca8,4.66,Kd=22uM,Kd
2ha2,4.66,Kd=22uM,Kd
3ddf,4.66,Ki=22uM,Ki
4tt2,4.66,Kd=22uM,Kd
3vw1,4.67,Kd=21.2uM,Kd
4gkh,4.67,Ki=21.5uM,Ki
4nku,4.67,Kd=21.3uM,Kd
1c5p,4.68,Ki=21uM,Ki
1wn6,4.68,Ki=21uM,Ki
1xge,4.68,Kd=20.8uM,Kd
2nsl,4.68,Kd=20.9uM,Kd
2uy4,4.68,Ki=21uM,Ki
2ypo,4.68,Kd=21uM,Kd
3g35,4.68,Ki=0.021mM,Ki
4lar,4.68,Kd=20.7uM,Kd
4ymg,4.68,Kd=21uM,Kd
5a5q,4.68,Kd=21uM,Kd
5aoj,4.68,Kd=21uM,Kd
2rio,4.69,Kd=20.4uM,Kd
3ujd,4.69,Kd=20.2uM,Kd
4tpw,4.69,Kd=20.5uM,Kd
1c5n,4.7,Ki=20uM,Ki
1c86,4.7,Ki=20uM,Ki
2cex,4.7,Kd=20uM,Kd
2dw7,4.7,Ki=20uM,Ki
2fu8,4.7,Ki=20uM,Ki
2i2c,4.7,Ki=0.02mM,Ki
2qfo,4.7,Kd=20uM,Kd
3k5i,4.7,Kd=20uM,Kd
3kiv,4.7,Kd=20uM,Kd
3nkk,4.7,Kd=20uM,Kd
3suw,4.7,Ki=20uM,Ki
4j7d,4.7,Kd=20uM,Kd
4j93,4.7,Kd=20uM,Kd
4luz,4.7,Kd=20uM,Kd
4lzr,4.7,Kd=20uM,Kd
1v2t,4.71,Ki=19.56uM,Ki
2qrh,4.71,Ki=19.6uM,Ki
3ny3,4.71,Kd=19.3uM,Kd
4ljh,4.71,Kd=19.4uM,Kd
184l,4.72,Kd=19uM,Kd
3ebo,4.72,Ki=19.01uM,Ki
3f6g,4.72,Ki=19uM,Ki
3r6c,4.72,Ki=19uM,Ki
1v2o,4.73,Ki=18.45uM,Ki
4ayu,4.73,Kd=18.6uM,Kd
1bty,4.74,Ki=18.4uM,Ki
1w4p,4.74,Ki=18uM,Ki
2e2p,4.74,Ki=18uM,Ki
2ov4,4.74,Kd=18uM,Kd
3dnt,4.74,Kd=18uM,Kd
3f3u,4.74,Kd=18uM,Kd
3lcv,4.74,Kd=18uM,Kd
4ih6,4.74,Kd=18uM,Kd
4kyk,4.74,Ki=18uM,Ki
3g2j,4.75,Ki=17.9uM,Ki
3nim,4.75,Kd=17.7uM,Kd
3vw2,4.75,Kd=17.9uM,Kd
3o5n,4.76,Ki=17.2uM,Ki
4wop,4.76,Kd=17.2uM,Kd
1str,4.77,Kd=17uM,Kd
2afw,4.77,Ki=17uM,Ki
2b4l,4.77,Kd=17uM,Kd
3d50,4.77,Ki=17uM,Ki
3iqu,4.77,Kd=17.0uM,Kd
3rm9,4.77,Kd=17uM,Kd
4kax,4.77,Kd=17uM,Kd
4uoh,4.77,Kd=17uM,Kd
4ad6,4.78,Kd=16.7uM,Kd
1oss,4.79,Ki=16.4uM,Ki
2nsj,4.79,Kd=16.3uM,Kd
3eb1,4.79,Ki=16.3uM,Ki
3g2k,4.79,Ki=16.1uM,Ki
1bju,4.8,Ki=16uM,Ki
1ghz,4.8,Ki=16uM,Ki
2nta,4.8,Ki=16uM,Ki
3bpc,4.8,Kd=16uM,Kd
3dnd,4.8,Ki=16uM,Ki
4aq6,4.8,Kd=15.8uM,Kd
4llp,4.8,Ki=16uM,Ki
4pb2,4.8,Kd=16uM,Kd
4ago,4.81,Kd=15.5uM,Kd
1aid,4.82,Ki=15uM,Ki
1dud,4.82,Ki=15uM,Ki
1f8e,4.82,Ki=15uM,Ki
1v1j,4.82,Ki=15uM,Ki
1xff,4.82,Ki=15uM,Ki
1y3p,4.82,Kd=15uM,Kd
2gl0,4.82,Kd=15uM,Kd
2gzl,4.82,Kd=15uM,Kd
2pwg,4.82,Ki=15uM,Ki
2ypi,4.82,Ki=15uM,Ki
3kmx,4.82,Kd=15uM,Kd
3vd4,4.82,Ki=0.015mM,Ki
4fys,4.82,Kd=15uM,Kd
4ih3,4.82,Ki=15.2uM,Ki
4io6,4.82,Kd=15.1uM,Kd
4kwf,4.82,Ki=15uM,Ki
4rlu,4.82,Kd=15.2uM,Kd
3a1s,4.83,Kd=14.8uM,Kd
5efa,4.83,Kd=14.7uM,Kd
3r0y,4.84,Kd=14.53uM,Kd
3vvy,4.84,Kd=14.6uM,Kd
4kif,4.84,Kd=14.6uM,Kd
4uof,4.84,Kd=14.6uM,Kd
5d1r,4.84,Kd=14.4uM,Kd
186l,4.85,Kd=14uM,Kd
1c83,4.85,Ki=14uM,Ki
1ecv,4.85,Ki=14uM,Ki
1n51,4.85,Ki=14uM,Ki
1qji,4.85,Ki=14uM,Ki
1xgi,4.85,Ki=14uM,Ki
2qwd,4.85,Ki=14uM,Ki
2r9x,4.85,Ki=14uM,Ki
3cj2,4.85,Kd=14uM,Kd
3f70,4.85,Kd=14uM,Kd
3ohi,4.85,Ki=14uM,Ki
3qnd,4.85,Kd=14uM,Kd
3ru1,4.85,Kd=14.2uM,Kd
3zyf,4.85,Kd=14.1uM,Kd
4hpi,4.85,Kd=14.2uM,Kd
4iic,4.85,Ki=14uM,Ki
4j7e,4.85,Kd=14uM,Kd
4ovh,4.85,Kd=14uM,Kd
4q87,4.85,Ki=14uM,Ki
5efc,4.85,Kd=14.1uM,Kd
3g2i,4.86,Ki=13.7uM,Ki
4ipj,4.87,Kd=13.5uM,Kd
4q0k,4.87,Kd=13.4uM,Kd
4rlw,4.87,Kd=13.4uM,Kd
4rra,4.87,Kd=13.4uM,Kd
3exh,4.88,Kd=13.1uM,Kd
3lp4,4.88,Kd=13.1uM,Kd
3pju,4.88,Kd=13.1uM,Kd
2aoc,4.89,Ki=13.0uM,Ki
2j77,4.89,Kd=12.9uM,Kd
2vo5,4.89,Ki=13uM,Ki
3juk,4.89,Kd=12.9uM,Kd
3m8u,4.89,Kd=12.9uM,Kd
3njq,4.89,Kd=13uM,Kd
4cd1,4.89,Ki=12.8uM,Ki
4l9i,4.89,Kd=13uM,Kd
4pnu,4.89,Kd=13uM,Kd
3cf8,4.9,Ki=12.7uM,Ki
1km3,4.91,Ki=12.4uM,Ki
3juq,4.91,Kd=12.4uM,Kd
3rdv,4.91,Kd=12.3uM,Kd
1e1v,4.92,Ki=12uM,Ki
1jqy,4.92,Ki=12uM,Ki
2haw,4.92,Kd=12uM,Kd
3eax,4.92,Ki=12uM,Ki
3rv8,4.92,Ki=12uM,Ki
4j47,4.92,Ki=12.02uM,Ki
3uxk,4.93,Ki=11.7uM,Ki
4ido,4.93,Kd=11.63uM,Kd
1e2k,4.94,Ki=11.4uM,Ki
2gss,4.94,Ki=11.5uM,Ki
2vo4,4.94,Kd=11.6uM,Kd
2vpe,4.94,Kd=11.4uM,Kd
4dmw,4.94,Kd=11.4uM,Kd
4ts1,4.94,Kd=11.6uM,Kd
1jn4,4.95,Ki=11.3uM,Ki
2x95,4.95,Ki=11.3uM,Ki
4bup,4.95,Kd=11.2uM,Kd
1dar,4.96,Kd=11uM,Kd
1elr,4.96,Kd=11uM,Kd
1o5g,4.96,Ki=11uM,Ki
1tsy,4.96,Kd=11.0uM,Kd
1uz8,4.96,Kd=11uM,Kd
2vjx,4.96,Ki=11uM,Ki
2w67,4.96,Ki=11uM,Ki
3bxg,4.96,Kd=10.98uM,Kd
3lbj,4.96,Ki=11uM,Ki
3veh,4.96,Ki=11uM,Ki
3zsq,4.96,Kd=10.9uM,Kd
4jsa,4.96,Ki=11uM,Ki
4rlt,4.96,Kd=10.9uM,Kd
3qbc,4.97,Kd=10.8uM,Kd
4e3g,4.97,Ki=10.6uM,Ki
4in9,4.97,Ki=10.7uM,Ki
2w47,4.98,Kd=10.5uM,Kd
4re2,4.98,Ki=10.4uM,Ki
4w9d,4.99,Kd=10.2uM,Kd
1c84,5.0,Ki=9.9uM,Ki
1hlk,5.0,Ki=10uM,Ki
1o35,5.0,Ki=10uM,Ki
1ql7,5.0,Kd=10uM,Kd
1sbr,5.0,Kd=10uM,Kd
2oiq,5.0,Kd=10uM,Kd
2oym,5.0,Ki=10uM,Ki
2vxn,5.0,Kd=10uM,Kd
3cfn,5.0,Kd=10uM,Kd
3gbe,5.0,Ki=10uM,Ki
3k02,5.0,Kd=10.0uM,Kd
3p9m,5.0,Kd=10uM,Kd
4czs,5.0,Kd=10.0uM,Kd
4u6c,5.0,Ki=9.9uM,Ki
4xxh,5.0,Kd=10uM,Kd
1ppi,5.01,Ki=9.7uM,Ki
2glp,5.01,Ki=9.7uM,Ki
4dds,5.01,Ki=9.7uM,Ki
4u4x,5.01,Kd=9.8uM,Kd
2d0k,5.02,Kd=9.51uM,Kd
2xbp,5.02,Kd=9.6uM,Kd
3bgc,5.02,Ki=9.6uM,Ki
3usx,5.02,Kd=9.53uM,Kd
4u70,5.02,Ki=9.5uM,Ki
1i1e,5.03,Kd=9.4uM,Kd
4io5,5.03,Kd=9.27uM,Kd
4np9,5.03,Kd=9.4uM,Kd
1mfa,5.04,Kd=9.1uM,Kd
3tz0,5.04,Kd=9.2uM,Kd
4jym,5.04,Kd=9.05uM,Kd
4lk7,5.04,Kd=9.1uM,Kd
1dgm,5.05,Ki=8.9uM,Ki
1fkw,5.05,Ki=9uM,Ki
1qxk,5.05,Ki=9.0uM,Ki
3aau,5.05,Ki=9.0uM,Ki
3s76,5.05,Kd=9000nM,Kd
4euo,5.05,Kd=9uM,Kd
4oct,5.05,Kd=9uM,Kd
4rqv,5.05,Kd=9uM,Kd
4yzu,5.05,Ki=9uM,Ki
2v77,5.06,Ki=8.7uM,Ki
3f68,5.06,Ki=8.7uM,Ki
4h7q,5.06,Kd=8.8uM,Kd
5a2i,5.06,Kd=8.8uM,Kd
2c3l,5.07,Ki=8.58uM,Ki
2xm1,5.07,Kd=8.5uM,Kd
2yfa,5.07,Kd=8.5uM,Kd
3juo,5.07,Kd=8.55uM,Kd
1enu,5.08,Ki=8.3uM,Ki
1gfy,5.08,Ki=8.32uM,Ki
2qtg,5.08,Ki=8.3uM,Ki
3qyy,5.08,Kd=8.26uM,Kd
3tb6,5.08,Kd=8.4uM,Kd
4oiv,5.08,Kd=8.29uM,Kd
1m48,5.09,Kd=8.2uM,Kd
1nw7,5.09,Kd=8.1uM,Kd
2ygf,5.09,Kd=8.06uM,Kd
1ez9,5.1,Kd=8uM,Kd
1kmy,5.1,Kd=8uM,Kd
1od8,5.1,Ki=8uM,Ki
1onz,5.1,Kd=8uM,Kd
1v0k,5.1,Ki=8uM,Ki
1w7g,5.1,Ki=8uM,Ki
2h5a,5.1,Kd=8uM,Kd
2qrq,5.1,Ki=7.9uM,Ki
3p4v,5.1,Ki=8uM,Ki
3ujb,5.1,Kd=7.9uM,Kd
4dcs,5.1,Kd=8.0uM,Kd
1k4h,5.11,Ki=7.7uM,Ki
1yp9,5.11,Ki=7700nM,Ki
3k4d,5.11,Ki=7750nM,Ki
3ozj,5.11,Kd=7.7uM,Kd
4qfl,5.11,Kd=7.7uM,Kd
1qaw,5.12,Kd=7.5uM,Kd
1uv6,5.12,Kd=7575nM,Kd
2web,5.12,Ki=7.6uM,Ki
4f1l,5.12,Kd=7.6uM,Kd
4h81,5.12,Kd=7.5uM,Kd
1gcz,5.13,Ki=7.4uM,Ki
3s9e,5.13,Ki=7.43uM,Ki
1y3x,5.14,Ki=7315nM,Ki
2yaz,5.14,Kd=7.3uM,Kd
3tao,5.14,Kd=7.28uM,Kd
4ejl,5.14,Kd=7.2uM,Kd
1jcx,5.15,Ki=7.0uM,Ki
1jvu,5.15,Ki=7uM,Ki
1o0m,5.15,Ki=7.1uM,Ki
1pb8,5.15,Ki=7.02uM,Ki
1qk3,5.15,Kd=7.1uM,Kd
1thz,5.15,Ki=7.1uM,Ki
2afx,5.15,Ki=7.1uM,Ki
3ozr,5.15,Ki=7022nM,Ki
4h85,5.15,Kd=7.0uM,Kd
4jpx,5.15,Kd=7.0uM,Kd
4qrh,5.15,Ki=7.0uM,Ki
2zfp,5.17,Ki=6.8uM,Ki
3b7j,5.17,Ki=6.8uM,Ki
5ahw,5.17,Kd=6.82uM,Kd
5aut,5.17,Kd=6.7uM,Kd
1ft7,5.18,Ki=6.6uM,Ki
2qrg,5.18,Ki=6.6uM,Ki
3w37,5.18,Ki=6.68uM,Ki
4duh,5.18,Kd=6.6uM,Kd
4iif,5.18,Ki=6.6uM,Ki
4u73,5.18,Ki=6.6uM,Ki
1ocq,5.19,Ki=6.5uM,Ki
1ogg,5.19,Ki=6.4uM,Ki
1oxr,5.19,Kd=6.4uM,Kd
1rnt,5.19,Kd=6.5uM,Kd
2qdt,5.19,Ki=6.5uM,Ki
4ezz,5.19,Kd=6.4uM,Kd
3ov1,5.2,Kd=6.25uM,Kd
3uu1,5.2,Ki=6.3uM,Ki
4a6s,5.2,Kd=6.3uM,Kd
4ezr,5.2,Kd=6.3uM,Kd
1nw5,5.21,Kd=6.1uM,Kd
1o2r,5.21,Ki=6.1uM,Ki
4cwo,5.21,Ki=6.1uM,Ki
4few,5.21,Ki=6.2uM,Ki
4je8,5.21,Kd=6100nM,Kd
4m0r,5.21,Ki=6.2uM,Ki
1bq4,5.22,Ki=6uM,Ki
1gjd,5.22,Ki=6.0uM,Ki
1j17,5.22,Ki=6.05uM,Ki
1o5c,5.22,Ki=6.0uM,Ki
1ucn,5.22,Kd=6.0uM,Kd
1zea,5.22,Kd=6uM,Kd
2gz2,5.22,Kd=6.0uM,Kd
2hxm,5.22,Ki=6uM,Ki
2wzm,5.22,Ki=6.0uM,Ki
2zxd,5.22,Ki=6.0uM,Ki
3dne,5.22,Ki=6uM,Ki
3iof,5.22,Ki=6uM,Ki
3lq2,5.22,Kd=5.97uM,Kd
3ms9,5.22,Kd=6uM,Kd
3n1c,5.22,Kd=6uM,Kd
3ppp,5.22,Kd=6uM,Kd
3q71,5.22,Kd=6.0uM,Kd
3qxt,5.22,Kd=6uM,Kd
4lrr,5.22,Ki=6uM,Ki
4u71,5.22,Ki=6.0uM,Ki
1b4z,5.23,Kd=5900nM,Kd
1ndw,5.23,Ki=5900nM,Ki
2q38,5.23,Ki=5950nM,Ki
3lc3,5.23,Ki=5.9uM,Ki
1fh7,5.24,Ki=5.8uM,Ki
1q8w,5.24,Kd=5.7uM,Kd
1s89,5.24,Ki=5.8uM,Ki
2jfz,5.24,Ki=5.8uM,Ki
3pb8,5.24,Ki=5.748uM,Ki
4gue,5.24,Kd=5.8uM,Kd
4idn,5.24,Kd=5.77uM,Kd
4non,5.24,Kd=5.71uM,Kd
4y59,5.24,Kd=5.8uM,Kd
2bfr,5.25,Kd=5.63uM,Kd
3r24,5.25,Kd=5.59uM,Kd
1w4q,5.26,Ki=5.5uM,Ki
2qft,5.26,Ki=5.5uM,Ki
3n9s,5.26,Kd=5.5uM,Kd
4omj,5.26,Kd=5.44uM,Kd
2x7u,5.27,Ki=5340nM,Ki
3tkw,5.27,Kd=5.4uM,Kd
1b46,5.28,Kd=5200nM,Kd
1f5l,5.28,Ki=5.3uM,Ki
3bbf,5.28,Kd=5.2uM,Kd
3o5x,5.28,Ki=5.2uM,Ki
4e70,5.28,Kd=5.26uM,Kd
4j46,5.28,Ki=5.24uM,Ki
1c88,5.29,Ki=5.1uM,Ki
2wc4,5.29,Kd=5.1uM,Kd
1a69,5.3,Ki=5uM,Ki
1h6h,5.3,Kd=5.0uM,Kd
1o0f,5.3,Ki=5uM,Ki
1srg,5.3,Kd=5uM,Kd
2q7q,5.3,Kd=5uM,Kd
2vk6,5.3,Ki=5uM,Ki
3gpo,5.3,Kd=5uM,Kd
3p9l,5.3,Kd=5uM,Kd
3pgl,5.3,Ki=5uM,Ki
3upv,5.3,Kd=5uM,Kd
1hk4,5.31,Kd=4.9uM,Kd
1mfd,5.31,Kd=4.9uM,Kd
4or6,5.31,Kd=4.9uM,Kd
4u1b,5.31,Ki=4.9uM,Ki
1lvu,5.32,Kd=4.8uM,Kd
1y20,5.32,Ki=4.8uM,Ki
4ipi,5.32,Kd=4.8uM,Kd
4us3,5.32,Kd=4.8uM,Kd
2c80,5.33,Kd=4.7uM,Kd
3arx,5.33,Kd=4.7uM,Kd
3q1x,5.33,Ki=4.7uM,Ki
1hee,5.34,Ki=4.6uM,Ki
1zgi,5.34,Ki=4.6uM,Ki
3efs,5.34,Kd=4.6uM,Kd
3hkq,5.34,Ki=4.55uM,Ki
3k4q,5.34,Ki=4.6uM,Ki
3nee,5.34,Kd=4.6uM,Kd
1ql9,5.35,Ki=4.45uM,Ki
2fxv,5.35,Kd=4.5uM,Kd
2gkl,5.35,Ki=4.5uM,Ki
3hkn,5.35,Ki=4.51uM,Ki
1adl,5.36,Kd=4.4uM,Kd
3ldq,5.36,Ki=4.32uM,Ki
3mf5,5.36,Kd=4.32uM,Kd
1sgu,5.37,Ki=4235nM,Ki
3qt6,5.37,Ki=4.3uM,Ki
4el5,5.37,Ki=4.3uM,Ki
1g3e,5.38,Ki=4.2uM,Ki
2qhd,5.38,Kd=4.2uM,Kd
3e85,5.38,Kd=4.2uM,Kd
3tif,5.38,Kd=4.2uM,Kd
4f7v,5.38,Kd=4.16uM,Kd
1qbv,5.39,Ki=4100nM,Ki
2h6b,5.39,Kd=4.1uM,Kd
3hkt,5.39,Ki=4.1uM,Ki
3m1k,5.39,Ki=4.1uM,Ki
4cl6,5.39,Kd=4.05uM,Kd
4ej8,5.39,Kd=4.1uM,Kd
1bp0,5.4,Kd=4.0uM,Kd
1f8b,5.4,Ki=4.0uM,Ki
1m7i,5.4,Kd=4.0uM,Kd
1mmr,5.4,Ki=4.0uM,Ki
1pz5,5.4,Kd=4uM,Kd
1r9l,5.4,Kd=4uM,Kd
1trd,5.4,Ki=4uM,Ki
2c1p,5.4,Kd=4uM,Kd
2f35,5.4,Kd=3.94uM,Kd
2i80,5.4,Ki=4uM,Ki
2jdm,5.4,Kd=3.96uM,Kd
2qg2,5.4,Ki=4.0uM,Ki
3arr,5.4,Kd=4.0uM,Kd
3b4p,5.4,Kd=4.0uM,Kd
3l6h,5.4,Kd=4uM,Kd
4c5d,5.4,Kd=4.0uM,Kd
4ij1,5.4,Ki=4uM,Ki
4m3p,5.4,Kd=4uM,Kd
4ozj,5.4,Kd=4uM,Kd
4pin,5.4,Kd=4uM,Kd
2j47,5.41,Ki=3.9uM,Ki
4tun,5.41,Kd=3.87uM,Kd
4u6z,5.41,Ki=3.9uM,Ki
4uma,5.41,Ki=3.9uM,Ki
5cbs,5.41,Kd=3.90uM,Kd
1gja,5.42,Ki=3.8uM,Ki
2vpo,5.42,Kd=3.8uM,Kd
4fev,5.42,Ki=3.8uM,Ki
4nxv,5.42,Kd=3.8uM,Kd
3ng4,5.43,Kd=3.7uM,Kd
4f5y,5.43,Kd=3.70uM,Kd
4pox,5.43,Kd=3.7uM,Kd
1h0a,5.44,Kd=3.6uM,Kd
2q6f,5.44,Ki=3.6uM,Ki
2wr8,5.44,Ki=3.6uM,Ki
3lp7,5.44,Kd=3.6uM,Kd
3u10,5.44,Kd=3.6uM,Kd
4dju,5.44,Ki=3.6uM,Ki
2iko,5.45,Kd=3571nM,Kd
3mi3,5.45,Ki=3.56uM,Ki
1b4h,5.46,Kd=3.44uM,Kd
1q65,5.46,Ki=3.5uM,Ki
1g7f,5.47,Ki=3.4uM,Ki
1gi1,5.47,Ki=3.4uM,Ki
1xh5,5.47,Kd=3400nM,Kd
2hf8,5.47,Kd=3.4uM,Kd
2r0z,5.47,Kd=3.4uM,Kd
2xde,5.47,Kd=3.42uM,Kd
2y7p,5.47,Kd=3.4uM,Kd
4n6g,5.47,Kd=3.4uM,Kd
4n7m,5.47,Kd=3.4uM,Kd
4qb3,5.47,Kd=3.4uM,Kd
1g85,5.48,Kd=3.3uM,Kd
2zkj,5.48,Kd=3.3uM,Kd
3bxe,5.48,Kd=3.34uM,Kd
3iw6,5.48,Kd=3.29uM,Kd
3zdv,5.48,Kd=3.3uM,Kd
4jfm,5.48,Kd=3.3uM,Kd
4kp8,5.48,Kd=3330nM,Kd
4pf5,5.48,Kd=3.3uM,Kd
1pot,5.49,Kd=3.2uM,Kd
1pyn,5.49,Ki=3.2uM,Ki
1tys,5.49,Kd=3.27uM,Kd
2h4k,5.49,Ki=3.2uM,Ki
2o0u,5.49,Ki=3.2uM,Ki
2uy5,5.49,Ki=3.2uM,Ki
3bvb,5.49,Kd=3.2uM,Kd
3ga5,5.49,Kd=3.2uM,Kd
